event_id,event_title,venue_name,address,latitude,longitude,date,time,repeat_day,host_name,price,prizes,age_limit,teams_max,event_url,source_preview,source_page,notes,day
10923,SpeedQuizzing Event,The Swan,"The Swan, The Swan Public House, Grendon Underwood, Aylesbury, HP18 0SW 8pm €¢ Wednesday 14 Jan 2026Prizes, TBC | £3 to play | Age 16+",51.88010727823484,-1.007963419,,,,Josh O,£3 to play,Prizes,Age 16+,,https://www.speedquizzing.com/events/10923/,yes,yes,,7
10945,SpeedQuizzing Event,Townley arms,"Townley arms, 41 Berry Lane, Longridge, Preston, PR3 3JP 8.30 €¢ Sunday 4 Jan 2026Prizes, 8 pints or two bottles of Prosecco | 0 to play | Max n/ per team | Age 18+",53.8317643,-2.6039915,04-Jan-26,8.3,Sunday,Darren Nelson,,Prizes,Age 18+,,https://www.speedquizzing.com/events/10945/,yes,yes,,1
10949,SpeedQuizzing Event,,,42.0412503,-72.7561125,,,,Peter Kennedy,,,,,https://www.speedquizzing.com/events/10949/,yes,yes,,7
10960,SpeedQuizzing Event,,,34.5829919,32.9765688,07-Jan-26,20:00,Wednesday,Gavin Riseley Entertainment,,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/10960/,yes,yes,,4
10962,SpeedQuizzing Event,,,53.75187963473586,-3.02814424,,,,Paul Obrien,,Prizes,Age 18+,,https://www.speedquizzing.com/events/10962/,yes,yes,,7
10965,SpeedQuizzing Event,,,53.04573019999999,-2.1967011,,,,Steve Green,£3 to play,,,,https://www.speedquizzing.com/events/10965/,yes,yes,,7
10980,SpeedQuizzing Event,Holme Hall Inn,"Holme Hall Inn, Linacre Road, Chesterfield, S40 4UX 8.30 €¢ Friday 2 Jan 2026Prizes, Cash | £1 to play | Max 4 per team",53.24755599954781,-1.471277475,02-Jan-26,8.3,Friday,David Hughes,£1 to play,Prizes,,Max 4 per team,https://www.speedquizzing.com/events/10980/,yes,yes,,6
10992,SpeedQuizzing Event,Partridge,"Partridge, 194 High Street, Bromley, BR1 1HE 6.30 €¢ Sunday 4 Jan 2026Prizes, Cash | £3 to play | Max 6 per team",51.4055748,0.0136487,04-Jan-26,6.3,Sunday,Steve Watson,£3 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/10992/,yes,yes,,1
11005,SpeedQuizzing Event,Route 66,"Route 66, 25 Wood Street, Swindon, SN1 4AN 8pm €¢ Monday 5 Jan 2026",51.5523538,-1.7760007,,,,Molly Willcox,,,,,https://www.speedquizzing.com/events/11005/,yes,yes,,7
11036,SpeedQuizzing Event,Flat iron square,"Flat iron square, Flat iron square, 45 Southwark street, LONDON, SE1 9HP 7.30pm €¢ Tuesday 13 Jan 2026Prizes, £50 bar tab | £2 to play | Max 6 per team | Age 18+",51.50458380000001,-0.0937321,,,,GARYLEE HUDSON,£2 to play,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11036/,yes,yes,,7
11044,SpeedQuizzing Event,,,37.9409418,-0.7562517,,,,Ollie Oliver,,,,,https://www.speedquizzing.com/events/11044/,yes,yes,,7
11076,SpeedQuizzing Event,,,42.50916931804529,-90.74247837,,,,Greg Quinn,,Prizes,,,https://www.speedquizzing.com/events/11076/,yes,yes,,7
11080,SpeedQuizzing Event,,,24.4985014,54.3946468,,,,Craig Courtice,,,,,https://www.speedquizzing.com/events/11080/,yes,yes,,7
11094,SpeedQuizzing Event,Nation of Shopkeepers,"Nation of Shopkeepers, Nation of Shopkeepers, Cookridge Street, Leeds, LS2 3AG 7pm €¢ Monday 19 Jan 2026Prizes, Bar tabs | £0 to play | Max 6 per team | Age 18+",53.8004925,-1.5475377,,,,Mike Mortimer,£0 to play,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11094/,yes,yes,,7
11099,Find an Event,,,-34.397,150.644,,,,,,,,,https://www.speedquizzing.com/events/11099/,yes,yes,,7
11108,SpeedQuizzing Event,The Lord Kitchener,"The Lord Kitchener, 49 East Barnet Road, New Barnet, EN4 8RN 8.30pm €¢ Monday 5 Jan 2026Prizes, £30/£20 bar vouchers | £4 to play | Max 6 per team | Age 18+",51.6468102,-0.1669879,,,,Owen Andrew,£4 to play,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11108/,yes,yes,,7
11109,SpeedQuizzing Event,Carouse,"Carouse, Carouse Rainhill, Rainhill, Prescot, L35 0LP 7:30pm €¢ Sunday 4 Jan 2026Prizes, £30 Bar Voucher | £1 per player to play",53.4168514,-2.765913,,,,AlexQuizzes,,Prizes,,,https://www.speedquizzing.com/events/11109/,yes,yes,,7
11138,SpeedQuizzing Event,Stagborough Arms,"Stagborough Arms, 81 Lower Lickhill Road, Stourport-on-Severn, DY13 8UQ 7:00 €¢ Wednesday 7 Jan 2026£5 per team to play | Max 4 per team",52.34646129999999,-2.2919266,07-Jan-26,07:00,Wednesday,Scott Jones,,,,Max 4 per team,https://www.speedquizzing.com/events/11138/,yes,yes,,4
11143,SpeedQuizzing Event,,,52.9829065,-6.0420741,16-Jan-26,9,Friday,Star Djs- Ian Tumulty,,Prizes,,,https://www.speedquizzing.com/events/11143/,yes,yes,,6
11145,SpeedQuizzing Event,,,53.4140849,-2.5309914,,,,DJ MILKY,£2 to play,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11145/,yes,yes,,7
11150,SpeedQuizzing Event,SPEEDQUIZZING @ THE OLD BANK YORK,"SPEEDQUIZZING @ THE OLD BANK YORK, 6-12 Lendal, York, YO1 8AA 8pm €¢ Sunday 4 Jan 2026Prizes, 1st £40 bar tab - 2nd £20 bar tab - 3rd Bottle of | Free to play | Max 6 per team | Age 18+",53.9603785,-1.0857373,,,,Shaun From LSI Entertainment,,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11150/,yes,yes,,7
11153,SpeedQuizzing Event,The Bull Inn - Barton Mills,"The Bull Inn - Barton Mills, The Street, Barton Mills, Bury Saint Edmunds, IP28 6AA 7.30pm €¢ Tuesday 13 Jan 2026Prizes, Bar Tabs/Meal Vouchers | 3 to play | Max 6 per team | Age 18+",52.3358808,0.5257262,,,,Gary Woodland,,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11153/,yes,yes,,7
11154,SpeedQuizzing Event,Moreton Hall Community Centre,"Moreton Hall Community Centre, Symonds Way, Moreton Hall, Bury Saint Edmunds, IP32 7EE 7.30 pm €¢ Saturday 10 Jan 2026Prizes, Cash from entrance fees! | £3 to play | Max 6 per team | Age 16+",52.2453534,0.7408769,,,,Gary Woodland,£3 to play,Prizes,Age 16+,Max 6 per team,https://www.speedquizzing.com/events/11154/,yes,yes,,7
11163,SpeedQuizzing Event,The White Hart,"The White Hart, 170 Hyde Road, Woodley, Stockport, SK6 1NP 8pm €¢ Monday 5 Jan 2026Prizes, 1st place: £10 bar spend, 2nd place £5 bar spend | Free to play | Max 6 per team | Age 18+",53.42791455651978,-2.095534801,,,,Afreena Islam-Wright,,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11163/,yes,yes,,7
11184,SpeedQuizzing Event,Rhythm and Brews,"Rhythm and Brews, 139 Church Street, Blackpool, FY1 3NX 8pm €¢ Monday 5 Jan 2026Prizes, 1st Place: £75 Drinks at Bar. 2nd Place: £50 Food  | £2 to play | Max No per team | Age 18+",53.8178202,-3.048148,,,,Kieran Murphy,£2 to play,Prizes,Age 18+,,https://www.speedquizzing.com/events/11184/,yes,yes,,7
11189,SpeedQuizzing Event,Hot Rod Diner,"Hot Rod Diner, 79 High Street, Northfleet, Gravesend, DA11 9HJ 7.30pm €¢ Wednesday 14 Jan 2026Prizes, Cash | £3 to play | Max 6 per team",51.445249,0.3294796,,,,Kevin Portch,£3 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/11189/,yes,yes,,7
11193,SpeedQuizzing Event,BOXPARK Camden,"BOXPARK Camden, 192-198 Camden High Street, London, NW1 8QP 7pm €¢ Wednesday 7 Jan 2026Prizes, Bar tabs, food & drink spot prizes | £3 to play | Max 6 per team | Age 18+",51.5399922,-0.1431728,,,,DJ Mike Wedgwood,£3 to play,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11193/,yes,yes,,7
11228,SpeedQuizzing Event,The Punchbowl,"The Punchbowl, Stongate, 7 Stonegate, York, YO1 8AN 8pm €¢ Tuesday 6 Jan 2026Prizes, Vouchers | £2 to play | Max NA per team | Age 18+",53.96056730000001,-1.0837921,,,,Tom STEVENS,£2 to play,Prizes,Age 18+,,https://www.speedquizzing.com/events/11228/,yes,yes,,7
11234,SpeedQuizzing Event,,,52.15736108468757,-2.263977528,,,,Inferno Speedquizzing,,Prizes,,Max 8 per team,https://www.speedquizzing.com/events/11234/,yes,yes,,7
11242,SpeedQuizzing Event,Wealden Hall,"Wealden Hall, 773 London Road, East Malling, Aylesford, ME20 6DE 7.30pm €¢ Wednesday 7 Jan 2026Prizes, Cash | £3 to play | Max 6 per team",51.2983785,0.4422208,,,,Charley Parker,£3 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/11242/,yes,yes,,7
11245,SpeedQuizzing Event,Ships and Giggles,"Ships and Giggles, Ships and Giggles, 3 Fylde Road, Preston, PR1 2XQ 9pm €¢ Sunday 11 Jan 2026Age 18+",53.7627897,-2.7083166,,,,DJ Jammie,,,Age 18+,,https://www.speedquizzing.com/events/11245/,yes,yes,,7
11267,SpeedQuizzing Event,The Willow,"The Willow, 51 Old Trent Road, Beckingham, Doncaster, DN10 4PY 7.30 €¢ Monday 5 Jan 2026Prizes, Cash | £1 to play | Max 4 per team",53.4014849,-0.8048612,05-Jan-26,7.3,Monday,Reuben Timoney,£1 to play,Prizes,,Max 4 per team,https://www.speedquizzing.com/events/11267/,yes,yes,,2
11269,Find an Event,,,-34.397,150.644,,,,,,,,,https://www.speedquizzing.com/events/11269/,yes,yes,,7
11275,SpeedQuizzing Event,Wythall Community Club,"Wythall Community Club, 52 Silver Street, Wythall, Birmingham, B47 6LZ 8.00pm €¢ Wednesday 14 Jan 2026Prizes, 1st, 2nd and 3rd places | £6 per team to play | Max 6 per team | Age 12+",52.38396243699839,-1.888457537,,,,Richard Burn,,Prizes,Age 12+,Max 6 per team,https://www.speedquizzing.com/events/11275/,yes,yes,,7
11285,SpeedQuizzing Event,Brewhaus,"Brewhaus, 182 Queen Margaret Drive, Glasgow, G20 8NX 8pm €¢ Tuesday 27 Jan 2026Prizes, Good prizes - cash and more | £1 to play | Max 8 per team | Age 18+",55.8816578,-4.2826291,,,,Vincent Cobb,£1 to play,Prizes,Age 18+,Max 8 per team,https://www.speedquizzing.com/events/11285/,yes,yes,,7
11286,SpeedQuizzing Event,The Terrace,"The Terrace, 17 New Street, York, YO1 8RA 7pm €¢ Sunday 25 Jan 2026Prizes, £50 | Free to play to play | Max N/ per team | Age 18+",53.95926559999999,-1.0838058,,,,Tom STEVENS,,Prizes,Age 18+,,https://www.speedquizzing.com/events/11286/,yes,yes,,7
11291,SpeedQuizzing Event,,,42.4479354,-85.6679689,03-Jan-26,07:00,Saturday,Ryan Kohlhoff,,Prizes,,Max 4 per team,https://www.speedquizzing.com/events/11291/,yes,yes,,7
11312,SpeedQuizzing Event,The Mount Tavern,"The Mount Tavern, Common Lane, Sheldon, Birmingham, B26 3BP 7.00 pm €¢ Friday 2 Jan 2026Prizes, £40 food Voucher | Free to play to play | Max 6 per team | Age 18++",52.45860450000001,-1.787139,,,,Mr B,,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/11312/,yes,yes,,7
11313,SpeedQuizzing Event,The Winning Post,"The Winning Post, 232 Warmsworth Road, Doncaster, DN4 0TR 8 €¢ Saturday 3 Jan 2026Prizes, Cash | £1 to play | Max 4 per team",53.5003397,-1.1698069,,,,Jon Wright,£1 to play,Prizes,,Max 4 per team,https://www.speedquizzing.com/events/11313/,yes,yes,,7
11320,SpeedQuizzing Event,,,37.930193431164646,-0.766403675,,,,Ollie Oliver,,,,,https://www.speedquizzing.com/events/11320/,yes,yes,,7
11323,SpeedQuizzing Event,Druids Arms,"Druids Arms, 24 Earl Street, Maidstone, ME14 1PP 8pm €¢ Tuesday 6 Jan 2026Prizes, Cash | £3 to play | Max 6 per team",51.2749816,0.5217833000000001,,,,Anne Bailey,£3 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/11323/,yes,yes,,7
11331,SpeedQuizzing Event,The Three Bridges,"The Three Bridges, 80-83 North Road, Durham, DH1 4SQ 7pm €¢ Monday 5 Jan 2026Prizes, Bar Tab | Free to play | Max N/ per team | Age 18+",54.776687005592336,-1.579667539,,,,Scott Guy,,Prizes,Age 18+,,https://www.speedquizzing.com/events/11331/,yes,yes,,7
